GEOID,district,longitude,latitude,elevation,updated,name,ownership,built,type,doctors,nurses,nurses2,pcns,ehts,pharmacists,labtechs,beds,maternal,general,cathmentpo,distneares,has_community,has_community2,water_pipe,water_run,electric,electric2,distnear2,sanitation,sanitation2,sanitation3,security,security2,tar_road,gravel_road,incinerator,autoway,dental,comments,type_edite
1,Seke,31.0385303497,-18.35294,0,1998,Acton Ronolds,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
2,Goromonzi,31.316810607899999,-17.788,0,1998,Acturus Mine,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
3,Zvimba,30.420280456499999,-16.89056,0,1998,ARDA Sisi,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
4,Makonde,30.067499160800001,-17.37389,0,1998,Alaska,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
5,Masvingo,30.770889282199999,-19.83389,0,1998,Alvod,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
6,Guruve,30.308059692400001,-16.10195,0,1998,Angwa,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
7,Kadoma,29.8816699982,-18.35528,0,1998,Annex,5,0,Gvt Infections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
8,Makoni,32.203140258799998,-18.23539,0,1998,Anorldine,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
9,Seke,30.9410591125,-17.94144,0,1998,Arbo Acres,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
10,Mutasa,32.967109680199997,-18.30217,0,1998,Arbourfoyle,7,0,Private Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
11,Chipinge,32.232219696000001,-20.87639,0,1998,ARDA Estates,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
12,Chipinge,32.378890991200002,-20.05167,0,1998,ARDA-Mid-Save,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
13,Chimanimani,32.7858314514,-20.03472,0,1998,ARDA Rusitu,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
14,Kariba,28.826389312700002,-16.52639,0,1998,Army,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
15,Nyanga,32.786968231199999,-17.46947,0,1998,Avilla,3,0,Mission Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
16,Insiza,29.505559921300001,-20.83492,0,1998,Avoca,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
17,Zvimba,30.438610076900002,-17.03944,0,1998,Ayrshire,5,0,Council Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
18,Guruve,30.692779541,-16.52667,0,1998,Bakasa,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
19,Mutare,32.351440429699998,-19.30542,0,1998,Bakorenhema,5,0,Gvt Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
20,Makoni,32.3062210083,-18.20478,0,1998,Bamba,6,0,Rural Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
21,Shurugwi,30.269689559900002,-19.97475,0,1998,Banga,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
22,Buhera,31.773250579799999,-19.53564,0,1998,Bangure,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
23,Zvimba,30.395830154399999,-17.38333,0,1998,Banket,2,0,District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
24,Zvishavane,29.873029708899999,-20.29022,0,1998,Bannockburn,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
25,Mazowe,31.1262302399,-16.87747,0,1998,Bare,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
26,Kadoma,29.9058303833,-18.62444,0,1998,Battlefields,7,0,Army Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Millitary H"
27,Maphisa,28.335060119600001,-20.60611,0,1998,Bazha,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
28,Seke,30.855779647799999,-18.25661,0,1998,Beatrice,4,0,Rural Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
29,Beitbridge,29.987609863300001,-22.20458,0,1998,Beitbridge,2,0,District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null
30,Mazowe,30.872180938700001,-17.52498,0,1998,Belgone Clinic,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
31,Guruve,30.6725006104,-16.85667,0,1998,Bepura,5,0,Clinic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,"Clinic"
